date,open,high,low,close,volume
14.01.2015,491.94281,500.475861,490.301849,498.128784,2235700
15.01.2015,502.80304,502.912445,495.035797,499.043732,2715800
16.01.2015,497.273468,505.408722,497.263519,505.299316,2298300
20.01.2015,508.203339,509.695129,503.246613,504.125763,2227900
21.01.2015,504.473846,516.437988,503.429596,515.204773,2268700
22.01.2015,518.625977,533.394714,516.855713,531.465332,2676900
23.01.2015,532.658752,539.202759,530.082947,536.994873,2273000
26.01.2015,535.582642,536.05011,526.771179,532.280823,1543700
27.01.2015,527.069519,527.795532,515.354004,515.791565,1904000
28.01.2015,519.918884,520.127686,507.208801,507.208801,1683800
29.01.2015,508.203339,508.292847,498.45697,507.865204,4186400
30.01.2015,513.036743,536.915344,512.698608,531.594604,5606400
02.02.2015,528.819885,530.082947,515.712036,525.587646,2849800
03.02.2015,525.110291,530.480713,520.39624,526.343506,2034800
04.02.2015,526.343506,529.756714,518.417114,519.898987,1663700
05.02.2015,520.92334,525.607544,519.232666,524.692566,1849800
06.02.2015,524.752258,534.259949,523.528992,528.093872,1749400
09.02.2015,525.110291,529.088379,523.141113,524.941223,1267800
10.02.2015,526.403198,534.757202,524.036194,534.001343,1749900
11.02.2015,532.370361,535.503113,530.458862,533.036682,1377800
12.02.2015,534.309692,541.838257,531.746765,539.958557,1620200
13.02.2015,540.376282,546.900391,540.157471,546.00531,1900300
17.02.2015,543.837219,546.989868,538.128662,539.86908,1616800
18.02.2015,538.436951,542.504578,534.568237,536.746277,1451600
19.02.2015,535.097717,540.140015,535.067932,539.901306,991800
20.02.2015,540.157471,540.774109,532.867615,536.000366,1444400
23.02.2015,533.116211,533.503113,526.512573,528.998901,1457900
24.02.2015,527.099365,533.852173,525.358948,533.156006,1005100
25.02.2015,532.967041,543.230591,532.514526,540.893433,1826000
26.02.2015,540.237061,553.096313,538.536377,552.43988,2311500
27.02.2015,551.206665,561.619385,549.874023,555.343933,2410200
02.03.2015,557.46228,569.018677,555.692017,568.213074,2129600
03.03.2015,567.327942,572.240906,563.419495,570.500488,1704800
04.03.2015,568.740173,573.951538,564.901306,570.231995,1718500
05.03.2015,571.872925,574.747131,570.27179,572.181274,1389600
06.03.2015,571.733704,573.523865,563.658142,564.578125,1659100
09.03.2015,563.757629,567.148926,560.450806,565.736694,1062100
10.03.2015,561.161926,561.758606,551.694031,551.972473,1772400
11.03.2015,552.101746,555.085327,547.666138,548.163452,1820800
12.03.2015,550.480652,553.325012,547.447388,552.469727,1389600
13.03.2015,550.470703,555.343933,541.241516,544.324585,1703600
16.03.2015,547.934692,553.802368,543.01178,551.47522,1641000
17.03.2015,548.690552,550.769104,545.000854,547.825317,1803200
18.03.2015,549.476196,556.71637,544.006287,556.437866,2130200
