,TRAINING SET,TRAINING SET SIZE,TESTING SET,TESTING SET SIZE,RESULT,COMPUTATION TIME
69,Toyota10years.csv,495,Walmart10years.csv,1983,0.8154311649016641,0.00272154936131
70,Unilever10years.csv,495,Apple10years.csv,1983,0.9258698940998488,0.00327111051467
71,Unilever10years.csv,495,Bayer10years.csv,1637,0.8839340256566891,0.00259756077993
72,Unilever10years.csv,495,Cola10years.csv,1983,0.7881996974281392,0.00279229578716
73,Unilever10years.csv,495,CreditAgricole10years.csv.csv,1983,0.91880988401412,0.00279047242567
74,Unilever10years.csv,495,Gazprom10years.csv,1983,0.9425113464447806,0.0031854125246
75,Unilever10years.csv,495,McDonalds10years.csv,1983,0.7816439737771054,0.00275911060803
76,Unilever10years.csv,495,Toyota10years.csv,1983,0.8330811901159859,0.00281271743586
77,Unilever10years.csv,495,Unilever10years.csv,1983,0.8461926374180535,0.00332143529182
78,Unilever10years.csv,495,Volkswagen10years.csv,1983,0.9223398890569844,0.0027437943715
79,Unilever10years.csv,495,Walmart10years.csv,1983,0.8098840141200202,0.00279375447635
80,Volkswagen10years.csv,495,Apple10years.csv,1983,0.8814926878466969,0.00278062627362
81,Volkswagen10years.csv,495,Bayer10years.csv,1637,0.8753817959682346,0.00266721318889
82,Volkswagen10years.csv,495,Cola10years.csv,1983,0.8189611699445285,0.00282839834468
83,Volkswagen10years.csv,495,CreditAgricole10years.csv.csv,1983,0.9268784669692385,0.00316462620361
84,Volkswagen10years.csv,495,Gazprom10years.csv,1983,0.9223398890569844,0.00296660914569
85,Volkswagen10years.csv,495,McDonalds10years.csv,1983,0.7695410993444276,0.00347569167395
86,Volkswagen10years.csv,495,Toyota10years.csv,1983,0.8204740292486132,0.00271389124305
87,Volkswagen10years.csv,495,Unilever10years.csv,1983,0.7997982854261221,0.00271899665523
88,Volkswagen10years.csv,495,Volkswagen10years.csv,1983,0.9097327281896117,0.00294108208482
89,Volkswagen10years.csv,495,Walmart10years.csv,1983,0.815935451336359,0.00286158352382
90,Walmart10years.csv,495,Apple10years.csv,1983,0.9258698940998488,0.0029837487437
91,Walmart10years.csv,495,Bayer10years.csv,1637,0.8839340256566891,0.0025847972495
92,Walmart10years.csv,495,Cola10years.csv,1983,0.7881996974281392,0.00287471172655
93,Walmart10years.csv,495,CreditAgricole10years.csv.csv,1983,0.91880988401412,0.0027033157464
94,Walmart10years.csv,495,Gazprom10years.csv,1983,0.9425113464447806,0.00283058637847
95,Walmart10years.csv,495,McDonalds10years.csv,1983,0.7816439737771054,0.00284262056431
96,Walmart10years.csv,495,Toyota10years.csv,1983,0.8330811901159859,0.00280797669598
97,Walmart10years.csv,495,Unilever10years.csv,1983,0.8461926374180535,0.0033447743189
98,Walmart10years.csv,495,Volkswagen10years.csv,1983,0.9223398890569844,0.00289258066915
99,Walmart10years.csv,495,Walmart10years.csv,1983,0.8098840141200202,0.0027806262736
